%time,field
1559775763819219112,522.584946799
1559775763823019981,522.633226195
1559775763825040102,522.56207598
1559775763826884984,522.447860177
1559775763828299045,522.394843665
1559775763830410003,522.324764861
1559775763832741975,522.308052345
1559775763835793018,522.25863639
1559775763837071895,522.192048039
1559775763839346885,522.432550825
1559775763841000080,522.446949226
1559775763842607975,522.4289944
1559775763844430923,522.451176177
1559775763846203088,522.486437307
1559775763846973896,522.485753747
1559775763847899913,522.499080584
1559775763849900007,522.518780946
1559775763852030992,522.524098408
1559775763853877067,522.513691303
1559775763856745958,522.492644848
1559775763856889009,522.509602937
1559775763857872962,522.50889789
1559775763859566926,522.521652216
1559775763861265897,522.540552301
1559775763863428115,522.515347241
1559775763865438938,522.504765163
1559775763865917921,522.515114531
1559775763869748115,522.520273799
1559775763871598005,522.551422634
1559775763873620986,522.548241362
1559775763875179052,522.567872044
1559775763875742912,522.566285031
1559775763877276897,522.5571446
1559775763879204988,522.548622568
1559775763881433963,522.540318525
1559775763883405923,522.538578186
1559775763885457038,522.543701582
1559775763885799884,522.54754545
1559775763887124061,522.534445184
1559775763889384031,522.551309114
1559775763891439914,522.549453895
1559775763895656108,522.539856178
1559775763897332906,522.55305718
1559775763899533987,522.536322234
1559775763901058912,522.52134446
1559775763903395891,522.492262331
1559775763905421018,522.478237505
1559775763905843973,522.490813894
1559775763906986951,522.474857408
1559775763909224033,522.494378214
1559775763911135911,522.502305984
1559775763913376092,522.533241619
1559775763916115999,522.519937575
1559775763917303085,522.532537352
1559775763919333934,522.526314139
1559775763921380996,522.52585055
1559775763923382997,522.51318422
1559775763925631999,522.488391042
1559775763927314043,522.496674799
1559775763929347991,522.480772177
1559775763931698083,522.452288002
1559775763933835029,522.460775934
1559775763936204910,522.475334426
1559775763937592983,522.466477446
1559775763939393043,522.446750485
1559775763943294048,522.435786006
1559775763945581912,522.445530124
1559775763947308063,522.438376915
1559775763950150012,522.429857698
1559775763951518058,522.435324141
1559775763953303098,522.45176234
1559775763955502986,522.443239563
1559775763957560062,522.475610374
1559775763959219932,522.456264232
1559775763961247920,522.482079945
1559775763965785980,522.470781721
1559775763967273950,522.480647311
